website	MSA lines	MSA percent	EGY lines	EGY percent	GLF lines	GLF percent	LEV lines	LEV percent	Country of origin
games.aljayyash.net	134	42.53900%	31	9.84100%	107	33.96800%	43	13.65000%	
games.wslaat.maktoob.com	27	21.25900%	3	2.36200%	81	63.77900%	16	12.59800%	
games4arab.com	69	43.12500%	0	0%	88	55.00000%	3	1.87500%	
gate.ahram.org.eg	4118	6.21300%	162	.24400%	61627	92.98500%	369	.55600%	Egypt 
gavilondo.com	2	1.73900%	1	.86900%	112	97.39100%	0	0%	
girls.sh3bwah.maktoob.com	30	31.25000%	4	4.16600%	51	53.12500%	11	11.45800%	
global.nytimes.com	11	6.47000%	0	0%	151	88.82300%	8	4.70500%	
gofortheweb.com	0	0%	0	0%	1	100.00000%	0	0%	
gulfgc.com	0	0%	0	0%	1	100.00000%	0	0%	
gulfkids.com	36	70.58800%	1	1.96000%	12	23.52900%	2	3.92100%	
gulfnews.com	53	38.68600%	0	0%	81	59.12400%	3	2.18900%	
h-almadena.net	29	39.72600%	7	9.58900%	32	43.83500%	5	6.84900%	
hadhramautnews.net	115	47.32500%	30	12.34500%	81	33.33300%	17	6.99500%	
hajj.al-islam.com	5	6.94400%	0	0%	67	93.05500%	0	0%	
hajjahsport.net	62	52.54200%	9	7.62700%	34	28.81300%	13	11.01600%	
happeal.net	87	40.27700%	21	9.72200%	84	38.88800%	24	11.11100%	
hasanews.com	244	32.14700%	93	12.25200%	386	50.85600%	36	4.74300%	
haykal.jeeran.com	6	54.54500%	2	18.18100%	3	27.27200%	0	0%	
hespress.com	1	100.00000%	0	0%	0	0%	0	0%	Morocco 
hewaraat.com	38	60.31700%	3	4.76100%	19	30.15800%	3	4.76100%	
hodpress.com	46	42.99000%	14	13.08400%	36	33.64400%	11	10.28000%	
hodtoday.com	129	31.77300%	27	6.65000%	222	54.67900%	28	6.89600%	
home.total.net	2	20.00000%	0	0%	8	80.00000%	0	0%	
hshd.net	94024	63.79400%	12153	8.24500%	32928	22.34100%	8280	5.61700%	Yemen 
i-alwafi.8m.com	1	50.00000%	0	0%	1	50.00000%	0	0%	
ibbnews.net	42	48.27500%	8	9.19500%	34	39.08000%	3	3.44800%	
ihs.com.sa	21	41.17600%	2	3.92100%	28	54.90100%	0	0%	
international.daralhayat.com	17	28.81300%	5	8.47400%	33	55.93200%	4	6.77900%	Saudi Arabia 
international.sakhr.com	2	16.66600%	0	0%	10	83.33300%	0	0%	
iraqiwriter.com	69821	47.71700%	6375	4.35600%	62607	42.78700%	7518	5.13800%	Iraq 
islamictourism.com	0	0%	1	16.66600%	5	83.33300%	0	0%	
jamaluk.hawaaworld.com	24	26.66600%	5	5.55500%	56	62.22200%	5	5.55500%	
kassioun.org	53	48.62300%	14	12.84400%	28	25.68800%	14	12.84400%	Syria 
katamesh.jeeran.com	7	26.92300%	2	7.69200%	16	61.53800%	1	3.84600%	
kuwaitbb.kuwait.tt	50	37.87800%	1	.75700%	66	50.00000%	15	11.36300%	
kuwaitchat.net	5	38.46100%	1	7.69200%	6	46.15300%	1	7.69200%	Kuwait 
lahjnews.net	69	36.12500%	12	6.28200%	92	48.16700%	18	9.42400%	
lf.lebanese-forces.com	42	44.21000%	4	4.21000%	40	42.10500%	9	9.47300%	
lqtat.com	0	0%	0	0%	12	85.71400%	2	14.28500%	
luisfigo.hihome.com	0	0%	0	0%	14	100.00000%	0	0%	
mahadj.net	52	33.33300%	16	10.25600%	77	49.35800%	11	7.05100%	
mail.ajeeb.com	4	57.14200%	0	0%	3	42.85700%	0	0%	
main.omandaily.om	96	39.50600%	14	5.76100%	104	42.79800%	29	11.93400%	Oman 
marebpress.asrarpress.net	70102	60.88300%	9344	8.11500%	25826	22.42900%	9870	8.57200%	
marebpress.taiz-press.net	2803	67.80300%	272	6.57900%	823	19.90800%	236	5.70800%	
michiganarabtimes.com	1	7.14200%	0	0%	12	85.71400%	1	7.14200%	
mo7ammed.blogspot.com	0	0%	0	0%	2	100.00000%	0	0%	
moainpress.net	68	38.63600%	15	8.52200%	81	46.02200%	12	6.81800%	
mosa.gov.sa	37	41.11100%	1	1.11100%	43	47.77700%	9	10.00000%	
movies.theemiratesnetwork.com	1	6.25000%	0	0%	14	87.50000%	1	6.25000%	
mygulfcar.kuwait.tt	35	43.20900%	3	3.70300%	37	45.67900%	6	7.40700%	
mynono.hawaaworld.com	25	25.25200%	1	1.01000%	50	50.50500%	23	23.23200%	
najrank.tripod.com	5	20.83300%	0	0%	19	79.16600%	0	0%	
net.shams.edu.eg	0	0%	0	0%	1	100.00000%	0	0%	
new.el-ahly.com	3	2.47900%	1	.82600%	114	94.21400%	3	2.47900%	
newar.bau.edu.jo	28	47.45700%	1	1.69400%	24	40.67700%	6	10.16900%	
news-sa.com	74	54.01400%	9	6.56900%	53	38.68600%	1	.72900%	Saudi Arabia 
news.al-maydan.net	51	35.91500%	20	14.08400%	60	42.25300%	11	7.74600%	
news.bbc.co.uk	0	0%	0	0%	16	94.11700%	1	5.88200%	
news.naseej.com	221911	77.47300%	13310	4.64600%	42279	14.76000%	8933	3.11800%	Egypt 
news.sudanvisiondaily.com	5	12.82000%	0	0%	33	84.61500%	1	2.56400%	
old.moheet.com	633	3.49200%	23	.12600%	17418	96.08800%	53	.29200%	
osrty.com	9	21.42800%	2	4.76100%	27	64.28500%	4	9.52300%	
oujda-portail.net	43133	57.49300%	4657	6.20700%	24195	32.25000%	3037	4.04800%	Morocco 
oujdaportail.net	124	32.04100%	18	4.65100%	225	58.13900%	20	5.16700%	
oujdatv.com	2	10.00000%	0	0%	18	90.00000%	0	0%	
pbskids.org	1	11.11100%	0	0%	7	77.77700%	1	11.11100%	
philly.trouble-free.net	0	0%	0	0%	1	100.00000%	0	0%	
photo.aps.dz	2	33.33300%	0	0%	4	66.66600%	0	0%	
portal.wahati.com	0	0%	1	100.00000%	0	0%	0	0%	
public.web.cern.ch	1	7.69200%	0	0%	12	92.30700%	0	0%	
radiostationworld.com	0	0%	0	0%	19	95.00000%	1	5.00000%	
rajacasablanca.com	0	0%	0	0%	1	100.00000%	0	0%	
