website	MSA lines	MSA percent	EGY lines	EGY percent	GLF lines	GLF percent	LEV lines	LEV percent	Country of origin
www.bankmuscat.com	5	33.33300%	0	0%	9	60.00000%	1	6.66600%	
www.banque-france.fr	0	0%	0	0%	31	100.00000%	0	0%	
www.barakish.net	4	1.32800%	0	0%	297	98.67100%	0	0%	
www.basaernews.com	69264	76.73000%	2820	3.12300%	15388	17.04600%	2797	3.09800%	Iraq 
www.batistuta.com	0	0%	0	0%	2	100.00000%	0	0%	
www.bau.edu.lb	1	5.88200%	0	0%	12	70.58800%	4	23.52900%	
www.bayanonline.com	25	50.00000%	5	10.00000%	19	38.00000%	1	2.00000%	
www.bbc.co.uk	702	54.16600%	85	6.55800%	452	34.87600%	57	4.39800%	
www.beautyclub6.com	13	20.00000%	1	1.53800%	39	60.00000%	12	18.46100%	
www.beemode.com	0	0%	0	0%	0	0%	1	100.00000%	
www.beirutiloveu.com	0	0%	0	0%	1	100.00000%	0	0%	
www.belaquood.net	161	76.30300%	9	4.26500%	31	14.69100%	10	4.73900%	
www.bhnation.net	3	25.00000%	1	8.33300%	8	66.66600%	0	0%	
www.bibalex.org	2	7.40700%	1	3.70300%	23	85.18500%	1	3.70300%	
www.bin-saedan.com	3	18.75000%	0	0%	11	68.75000%	2	12.50000%	
www.binghaith.com	1	100.00000%	0	0%	0	0%	0	0%	
www.binlamin.com	0	0%	0	0%	8	100.00000%	0	0%	
www.binrazin.com	15	18.51800%	4	4.93800%	55	67.90100%	7	8.64100%	
www.biologyinmotion.com	3	21.42800%	0	0%	11	78.57100%	0	0%	
www.bis.edu.lb	0	0%	0	0%	0	0%	1	100.00000%	
www.blindinstitute.org	3	33.33300%	2	22.22200%	4	44.44400%	0	0%	
www.bluenileboat.com.eg	0	0%	0	0%	1	100.00000%	0	0%	
www.bmw.com	1	12.50000%	1	12.50000%	5	62.50000%	1	12.50000%	
www.bodymindretreats.com	0	0%	0	0%	4	100.00000%	0	0%	
www.boeing.com	3	9.37500%	0	0%	29	90.62500%	0	0%	
www.bostany.com	4	40.00000%	0	0%	5	50.00000%	1	10.00000%	
www.britannica.com	7	14.89300%	0	0%	40	85.10600%	0	0%	
www.britishmuseum.org	1	2.85700%	0	0%	30	85.71400%	4	11.42800%	
www.brooog.com	0	0%	0	0%	1	100.00000%	0	0%	
www.bse.com.lb	4	16.00000%	0	0%	19	76.00000%	2	8.00000%	
www.btc.com.eg	1	100.00000%	0	0%	0	0%	0	0%	
www.bullsearch.org	11	44.00000%	0	0%	14	56.00000%	0	0%	
www.businessday.co.za	2	6.45100%	0	0%	28	90.32200%	1	3.22500%	
www.c-span.org	12	15.78900%	0	0%	63	82.89400%	1	1.31500%	
www.c33c.com	114	73.07600%	0	0%	29	18.58900%	13	8.33300%	
www.cacbank.com.ye	0	0%	0	0%	77	98.71700%	1	1.28200%	
www.cafonline.com	1	9.09000%	0	0%	9	81.81800%	1	9.09000%	
www.cairoo.com	1	5.00000%	2	10.00000%	17	85.00000%	0	0%	
www.calamuniv.edu	1	33.33300%	0	0%	2	66.66600%	0	0%	
www.candyusa.com	8	25.80600%	0	0%	22	70.96700%	1	3.22500%	
www.capitol-hotel.com	0	0%	0	0%	1	100.00000%	0	0%	
www.caranddriver.com	20	16.39300%	0	0%	101	82.78600%	1	.81900%	
www.carhire4less.co.uk	0	0%	0	0%	7	100.00000%	0	0%	
www.cariverplate.com	0	0%	0	0%	8	88.88800%	1	11.11100%	
www.carpethouse.net	1	7.69200%	1	7.69200%	11	84.61500%	0	0%	
www.carrefour.com.eg	0	0%	0	0%	1	50.00000%	1	50.00000%	
www.cat-egypt.com	1	50.00000%	0	0%	1	50.00000%	0	0%	
www.cba.edu.sa	3	16.66600%	0	0%	15	83.33300%	0	0%	
www.cbe.org.eg	7	28.00000%	0	0%	16	64.00000%	2	8.00000%	
www.cbq.com.qa	2	40.00000%	0	0%	3	60.00000%	0	0%	
www.cbsnews.com	12	14.81400%	0	0%	65	80.24600%	4	4.93800%	
www.celticfc.net	0	0%	0	0%	2	100.00000%	0	0%	
www.centralbank.an	2	14.28500%	0	0%	12	85.71400%	0	0%	
www.chamber.org.sa	0	0%	0	0%	65	98.48400%	1	1.51500%	
www.chamberlattakia.com	0	0%	0	0%	26	96.29600%	1	3.70300%	
www.champress.net	139309	38.24100%	13986	3.83900%	186866	51.29500%	24130	6.62300%	Syria 
www.cheltglos.co.uk	3	20.00000%	0	0%	12	80.00000%	0	0%	
www.chevrolet.com	2	10.00000%	0	0%	16	80.00000%	2	10.00000%	
www.chicagotribune.com	14	26.92300%	0	0%	36	69.23000%	2	3.84600%	
www.chraimba.com	7	25.00000%	6	21.42800%	13	46.42800%	2	7.14200%	
www.circuit-empire.com.lb	1	12.50000%	0	0%	7	87.50000%	0	0%	
www.citroen.com	1	2.04000%	2	4.08100%	43	87.75500%	3	6.12200%	
www.city-of-gold.com	0	0%	0	0%	1	100.00000%	0	0%	
www.citypharmacy.com	2	100.00000%	0	0%	0	0%	0	0%	
www.cjb.net	0	0%	0	0%	10	100.00000%	0	0%	
www.clacket.com	24	39.34400%	4	6.55700%	28	45.90100%	5	8.19600%	
www.cmr.gov.ma	10	38.46100%	0	0%	15	57.69200%	1	3.84600%	
www.cnn.com	20	23.80900%	0	0%	64	76.19000%	0	0%	
www.columbia.edu	1	7.69200%	1	7.69200%	11	84.61500%	0	0%	
www.commerzbank.de	2	6.06000%	0	0%	31	93.93900%	0	0%	
www.compupark.com	0	0%	0	0%	1	100.00000%	0	0%	
www.computereconomics.com	5	9.80300%	0	0%	45	88.23500%	1	1.96000%	
www.cprogramming.com	5	14.28500%	0	0%	27	77.14200%	3	8.57100%	
www.crimson.com.sa	0	0%	0	0%	3	75.00000%	1	25.00000%	
www.cruzeiro.org	3	9.37500%	0	0%	27	84.37500%	2	6.25000%	
www.crvascodagama.com	16	44.44400%	0	0%	20	55.55500%	0	0%	
www.csb.gov.jo	17	56.66600%	0	0%	10	33.33300%	3	10.00000%	
www.cssfaxien.com	3	12.00000%	1	4.00000%	18	72.00000%	3	12.00000%	
www.culture.gov.jo	20	54.05400%	1	2.70200%	9	24.32400%	7	18.91800%	
www.culture.tn	1	50.00000%	0	0%	1	50.00000%	0	0%	
www.culturewheel.com	9	27.27200%	4	12.12100%	18	54.54500%	2	6.06000%	
www.currenthistory.com	0	0%	0	0%	15	100.00000%	0	0%	
www.cwlrc.org	11	73.33300%	0	0%	2	13.33300%	2	13.33300%	
www.cyberitalian.com	0	0%	0	0%	11	100.00000%	0	0%	
www.cyprus-online.com	1	4.34700%	0	0%	22	95.65200%	0	0%	
www.czechspa.org	12	27.90600%	3	6.97600%	21	48.83700%	7	16.27900%	
www.czechspas.com	7	77.77700%	0	0%	1	11.11100%	1	11.11100%	
www.d-alsabah.com	0	0%	0	0%	0	0%	1	100.00000%	
www.daewoomotor.com	0	0%	0	0%	3	100.00000%	0	0%	
www.dahsha.com	133	63.63600%	5	2.39200%	49	23.44400%	22	10.52600%	
www.dammon.net	17	26.56200%	8	12.50000%	35	54.68700%	4	6.25000%	
www.dar-alathar.com	21	43.75000%	2	4.16600%	21	43.75000%	4	8.33300%	
www.dar-atlas.com	0	0%	0	0%	44	100.00000%	0	0%	
www.dar-us-salam.com	4	7.27200%	2	3.63600%	47	85.45400%	2	3.63600%	
www.daraddustour.com	102	6.77200%	6	.39800%	1385	91.96500%	13	.86300%	Iraq 
www.daralaman.com	31	20.66600%	9	6.00000%	101	67.33300%	9	6.00000%	
www.daralawael.com	11	22.00000%	0	0%	37	74.00000%	2	4.00000%	
www.daralhayat.com	31	55.35700%	1	1.78500%	21	37.50000%	3	5.35700%	Iraq 
www.daralmassira.com	1	.86200%	0	0%	114	98.27500%	1	.86200%	
www.daraloloum.com	61	38.85300%	35	22.29200%	43	27.38800%	18	11.46400%	
www.daralqubttan.4t.com	4	40.00000%	2	20.00000%	4	40.00000%	0	0%	
www.daralwatanalarabi.com	11	50.00000%	3	13.63600%	6	27.27200%	2	9.09000%	
www.darebneljwzi.itgo.com	10	43.47800%	1	4.34700%	10	43.47800%	2	8.69500%	
www.darwich.com	2	7.40700%	0	0%	25	92.59200%	0	0%	
www.dci-syria.org	21	43.75000%	6	12.50000%	18	37.50000%	3	6.25000%	
www.decoramaegypt.com	0	0%	0	0%	0	0%	1	100.00000%	
www.democraticfront.org	86	21.66200%	69	17.38000%	235	59.19300%	7	1.76300%	Egypt 
www.desertstore.com	0	0%	0	0%	3	100.00000%	0	0%	
www.dev4arabs.com	0	0%	0	0%	0	0%	1	100.00000%	
www.devdaily.com	3	12.50000%	0	0%	21	87.50000%	0	0%	
www.dfb.de	1	4.34700%	0	0%	19	82.60800%	3	13.04300%	
www.dfc.gov.ma	4	20.00000%	0	0%	15	75.00000%	1	5.00000%	
www.dfm.co.ae	0	0%	0	0%	1	100.00000%	0	0%	
www.dhamarpress.com	59	38.31100%	15	9.74000%	66	42.85700%	14	9.09000%	
www.dimofinf.net	5	50.00000%	0	0%	5	50.00000%	0	0%	
www.diwanalarab.com	58	37.41900%	4	2.58000%	81	52.25800%	12	7.74100%	
www.djorkaeff.com	0	0%	1	1.63900%	59	96.72100%	1	1.63900%	
www.dmd.ae	0	0%	0	0%	2	100.00000%	0	0%	
www.dmi.ae	25	23.14800%	1	.92500%	61	56.48100%	21	19.44400%	
www.doannews.com	50	39.68200%	7	5.55500%	55	43.65000%	14	11.11100%	
www.dorarr.ws	62	55.85500%	2	1.80100%	42	37.83700%	5	4.50400%	
www.dpcsyria.com	0	0%	0	0%	1	100.00000%	0	0%	
www.drdsh.com	4	22.22200%	0	0%	10	55.55500%	4	22.22200%	
www.drugstore.com	1	4.76100%	0	0%	18	85.71400%	2	9.52300%	
www.ducation.org	2	9.52300%	0	0%	18	85.71400%	1	4.76100%	
www.dw-world.de	83	48.25500%	12	6.97600%	59	34.30200%	18	10.46500%	
www.dwtc.com	0	0%	1	5.88200%	16	94.11700%	0	0%	
www.dynamo.ru	5	2.38000%	3	1.42800%	192	91.42800%	10	4.76100%	
www.e-dar.com	1	12.50000%	0	0%	7	87.50000%	0	0%	
www.e-kotob.com	1	6.66600%	0	0%	13	86.66600%	1	6.66600%	
www.e-mailaat.com	23177	33.91100%	4824	7.05800%	34414	50.35200%	5931	8.67700%	Saudi Arabia 
www.eakar.com	10	25.00000%	3	7.50000%	22	55.00000%	5	12.50000%	
www.earthlink.net	7	25.92500%	0	0%	20	74.07400%	0	0%	
www.easternemara.gov.sa	14	43.75000%	1	3.12500%	15	46.87500%	2	6.25000%	
www.eb7ar.com	81	40.70300%	20	10.05000%	88	44.22100%	10	5.02500%	
www.ebkd.8m.com	0	0%	0	0%	1	100.00000%	0	0%	
www.ebnnoktah.com	24	39.34400%	12	19.67200%	23	37.70400%	2	3.27800%	
www.ech-chaab.net	107	17.59800%	21	3.45300%	472	77.63100%	8	1.31500%	Algeria 
www.echonyc.com	3	50.00000%	0	0%	2	33.33300%	1	16.66600%	
www.echoroukonline.com	40	42.10500%	10	10.52600%	30	31.57800%	15	15.78900%	
www.ecm.gov.eg	23	37.70400%	9	14.75400%	28	45.90100%	1	1.63900%	
www.economist.com	29	36.70800%	0	0%	43	54.43000%	7	8.86000%	
www.edadti.com	7	50.00000%	0	0%	7	50.00000%	0	0%	
www.education.com	11	15.06800%	0	0%	61	83.56100%	1	1.36900%	
www.eduplace.com	0	0%	0	0%	5	100.00000%	0	0%	
www.eeaa.gov.eg	0	0%	0	0%	1	50.00000%	1	50.00000%	
www.efa.com.eg	31	33.69500%	36	39.13000%	22	23.91300%	3	3.26000%	
www.efg-hermes.com	3	33.33300%	0	0%	6	66.66600%	0	0%	
www.efranews.net	1520	2.59200%	78	.13300%	56682	96.67900%	349	.59500%	Jordan 
www.efta.int	1	4.76100%	0	0%	20	95.23800%	0	0%	
www.egcomp.com	32	65.30600%	1	2.04000%	14	28.57100%	2	4.08100%	
www.egynews.net	11	1.17800%	0	0%	919	98.49900%	3	.32100%	Egypt 
www.egypt.gov.eg	2	3.44800%	0	0%	55	94.82700%	1	1.72400%	
www.egyptdailynews.com	28	18.91800%	2	1.35100%	115	77.70200%	3	2.02700%	
www.egyptflowers.net	0	0%	0	0%	8	100.00000%	0	0%	
www.egyptianmuseum.com	0	0%	0	0%	3	100.00000%	0	0%	
www.egyptiansoccer.com	3	20.00000%	0	0%	12	80.00000%	0	0%	
www.egyptinteractive.com	0	0%	0	0%	3	100.00000%	0	0%	
www.egyptmba.com	1	20.00000%	0	0%	3	60.00000%	1	20.00000%	
www.egyptradio.tv	10	47.61900%	0	0%	11	52.38000%	0	0%	
www.eidmubarak.com	1	8.33300%	1	8.33300%	10	83.33300%	0	0%	
www.ekhbariyah.com	89	33.20800%	37	13.80500%	111	41.41700%	31	11.56700%	
www.el-wasat.com	59933	68.08000%	10475	11.89900%	13584	15.43000%	4040	4.58900%	Egypt 
www.el3b.com	5	10.86900%	1	2.17300%	34	73.91300%	6	13.04300%	
www.elaosboa.com	786	1.00300%	28	.03500%	77194	98.57700%	300	.38300%	Egypt 
www.elaph.com	100179	19.59900%	4643	.90800%	394465	77.17400%	11847	2.31700%	Saudi Arabia 
www.elbader.net	15	55.55500%	3	11.11100%	9	33.33300%	0	0%	
www.eldaawa.com	1	1.00000%	0	0%	99	99.00000%	0	0%	
www.eleganthouse.com	0	0%	0	0%	15	100.00000%	0	0%	
www.elheddaf.com	74	41.57300%	9	5.05600%	75	42.13400%	20	11.23500%	
www.elismaily.com	31	25.20300%	50	40.65000%	35	28.45500%	7	5.69100%	
www.elkhabar.com	66	43.70800%	3	1.98600%	63	41.72100%	19	12.58200%	
www.elkhabarerriadhi.com	43	62.31800%	7	10.14400%	15	21.73900%	4	5.79700%	Algeria 
www.elmalakrx.com	22	36.66600%	4	6.66600%	33	55.00000%	1	1.66600%	
www.elmassria.com	2	66.66600%	0	0%	1	33.33300%	0	0%	
www.elnashra.com	1089	1.53400%	37	.05200%	69507	97.91300%	355	.50000%	Lebanon 
www.elshabab.com	43	34.12600%	17	13.49200%	54	42.85700%	12	9.52300%	
www.elshark.com	3	1.32700%	0	0%	220	97.34500%	3	1.32700%	Lebanon 
www.elwatan.com	2516	.73500%	112	.03200%	338594	98.98600%	839	.24500%	Algeria 
www.emartaseer.gov.sa	13	40.62500%	0	0%	18	56.25000%	1	3.12500%	
www.encyberpedia.com	0	0%	0	0%	10	83.33300%	2	16.66600%	
www.enginealliance.com	0	0%	0	0%	1	100.00000%	0	0%	
www.eos.org.eg	9	15.25400%	5	8.47400%	43	72.88100%	2	3.38900%	
www.eqarat.com	0	0%	0	0%	10	83.33300%	2	16.66600%	
www.ericsson.com	4	10.00000%	1	2.50000%	34	85.00000%	1	2.50000%	
www.esaysearch.8m.com	3	15.78900%	0	0%	15	78.94700%	1	5.26300%	
www.escada.com	1	33.33300%	0	0%	2	66.66600%	0	0%	
www.essaadi.com	0	0%	0	0%	3	100.00000%	0	0%	
www.essawy.com	5	100.00000%	0	0%	0	0%	0	0%	
www.estad-aldoha.net	1008	74.77700%	54	4.00500%	189	14.02000%	97	7.19500%	Qatar 
www.eurostadiums.com	6	15.38400%	2	5.12800%	25	64.10200%	6	15.38400%	
www.evelight.net	0	0%	0	0%	1	100.00000%	0	0%	
www.exhauss-ibnkhaldoun.com.tn	18	26.08600%	1	1.44900%	47	68.11500%	3	4.34700%	
www.eyoun.org	39	33.91300%	20	17.39100%	45	39.13000%	11	9.56500%	
www.ezawaj.com	6	40.00000%	1	6.66600%	6	40.00000%	2	13.33300%	
www.f66f.com	0	0%	0	0%	1	100.00000%	0	0%	
www.facebook.com	0	0%	0	0%	3	100.00000%	0	0%	
www.faf.org.dz	0	0%	0	0%	8	100.00000%	0	0%	
www.fahmi.com	1	9.09000%	1	9.09000%	8	72.72700%	1	9.09000%	
www.fai.org.lb	1	20.00000%	0	0%	4	80.00000%	0	0%	
www.fairmont.com	2	5.88200%	0	0%	32	94.11700%	0	0%	
www.faisaly.com	45	31.46800%	13	9.09000%	67	46.85300%	18	12.58700%	
www.fao.org	3	27.27200%	0	0%	6	54.54500%	2	18.18100%	
www.farahq8.net	6	66.66600%	1	11.11100%	1	11.11100%	1	11.11100%	
www.fares.net	1	50.00000%	0	0%	1	50.00000%	0	0%	
www.faresalarab.com	0	0%	1	33.33300%	1	33.33300%	1	33.33300%	
www.fashion.net	1	25.00000%	0	0%	3	75.00000%	0	0%	
www.fastmail.fm	0	0%	0	0%	18	100.00000%	0	0%	
www.fcbayern.t-com.de	0	0%	0	0%	20	95.23800%	1	4.76100%	
www.federal-yemen.com	48	57.83100%	9	10.84300%	24	28.91500%	2	2.40900%	
www.fekrasoft.com	1	8.33300%	1	8.33300%	9	75.00000%	1	8.33300%	
www.femexfut.org.mx	0	0%	0	0%	1	100.00000%	0	0%	
www.fenon.com	37	32.45600%	18	15.78900%	50	43.85900%	9	7.89400%	
www.fff.fr	2	6.45100%	0	0%	29	93.54800%	0	0%	
www.fikr.com	95	51.07500%	5	2.68800%	73	39.24700%	13	6.98900%	
www.finaltouch.jeeran.com	1	50.00000%	0	0%	1	50.00000%	0	0%	
www.fivb.org	6	37.50000%	0	0%	9	56.25000%	1	6.25000%	
www.fmsyria.com	17670	57.65800%	1541	5.02800%	8021	26.17300%	3414	11.14000%	Syria 
www.focusmm.com	1	5.26300%	0	0%	18	94.73600%	0	0%	
www.fois.8m.com	8	30.76900%	0	0%	17	65.38400%	1	3.84600%	
www.fonon.net	22	56.41000%	2	5.12800%	13	33.33300%	2	5.12800%	
www.footballaustralia.com.au	5	23.80900%	0	0%	15	71.42800%	1	4.76100%	
www.for-children.com	0	0%	0	0%	2	100.00000%	0	0%	
www.forestfoundation.org	5	33.33300%	0	0%	9	60.00000%	1	6.66600%	
www.forumsguide.net	0	0%	1	25.00000%	2	50.00000%	1	25.00000%	
www.foxnews.com	20	15.87300%	0	0%	105	83.33300%	1	.79300%	
www.free-ed.net	2	20.00000%	0	0%	8	80.00000%	0	0%	
www.freearabi.com	11	28.94700%	6	15.78900%	19	50.00000%	2	5.26300%	
www.freedom-ye.com	41	57.74600%	7	9.85900%	20	28.16900%	3	4.22500%	
www.freemuslim.org	6	20.68900%	0	0%	22	75.86200%	1	3.44800%	
www.freeuae.com	49	31.21000%	13	8.28000%	79	50.31800%	16	10.19100%	
www.freewarejava.com	6	37.50000%	0	0%	10	62.50000%	0	0%	
www.friendsoflight.com	24	32.43200%	1	1.35100%	44	59.45900%	5	6.75600%	
www.fritolay.com	1	12.50000%	0	0%	7	87.50000%	0	0%	
www.fsmitha.com	1	12.50000%	0	0%	6	75.00000%	1	12.50000%	
www.fujairah-airport.com	0	0%	0	0%	3	100.00000%	0	0%	
www.funkhauseuropa.de	4	5.55500%	0	0%	65	90.27700%	3	4.16600%	
www.furniture-antique.com	0	0%	0	0%	9	100.00000%	0	0%	
www.fustat.com	70	53.43500%	16	12.21300%	32	24.42700%	13	9.92300%	
www.future.com.lb	3	14.28500%	0	0%	16	76.19000%	2	9.52300%	
www.g2da.com	37	15.81100%	11	4.70000%	171	73.07600%	15	6.41000%	
www.galil-school.net	47	43.92500%	11	10.28000%	36	33.64400%	13	12.14900%	
www.gallup.com	5	17.24100%	0	0%	22	75.86200%	2	6.89600%	
www.gawab.com	1	5.88200%	0	0%	12	70.58800%	4	23.52900%	
www.gawazna.com	13	48.14800%	1	3.70300%	11	40.74000%	2	7.40700%	
www.gazzetta.it	9	7.56300%	1	.84000%	108	90.75600%	1	.84000%	
www.gc.com.eg	0	0%	0	0%	7	100.00000%	0	0%	
www.gcc-sg.org	12	36.36300%	0	0%	21	63.63600%	0	0%	
www.gemalmaz.net	0	0%	1	9.09000%	10	90.90900%	0	0%	
www.geographic.org	1	50.00000%	0	0%	1	50.00000%	0	0%	
www.gernasworld.com	15	50.00000%	5	16.66600%	10	33.33300%	0	0%	
www.gezirauniversity.net	0	0%	0	0%	1	100.00000%	0	0%	
www.ghonim.com	0	0%	0	0%	5	100.00000%	0	0%	
www.gis.com	0	0%	0	0%	5	100.00000%	0	0%	
www.gl3a.com	24	26.37300%	6	6.59300%	58	63.73600%	3	3.29600%	
www.globalfundforwomen.org	1	6.66600%	0	0%	14	93.33300%	0	0%	
www.gmc.com	4	30.76900%	0	0%	9	69.23000%	0	0%	
www.go2ch.com	6	35.29400%	1	5.88200%	8	47.05800%	2	11.76400%	
www.goansport.net	43	36.75200%	19	16.23900%	44	37.60600%	11	9.40100%	
www.gold.org	3	11.53800%	1	3.84600%	21	80.76900%	1	3.84600%	
www.golfweek.com	35	35.00000%	1	1.00000%	60	60.00000%	4	4.00000%	
www.google.com	0	0%	0	0%	3	100.00000%	0	0%	
www.graindeble.org	1	12.50000%	0	0%	6	75.00000%	1	12.50000%	
www.gta.com.lb	1	100.00000%	0	0%	0	0%	0	0%	
www.guardian.co.uk	38	27.94100%	0	0%	94	69.11700%	4	2.94100%	
www.guinnessworldrecords.com	2	11.11100%	0	0%	15	83.33300%	1	5.55500%	
www.gulfair.com	1	3.70300%	0	0%	26	96.29600%	0	0%	
www.gulfbank-online.com	1	25.00000%	0	0%	3	75.00000%	0	0%	
www.gulfdirectory.com.bh	0	0%	0	0%	10	100.00000%	0	0%	
www.gulfmarketsintl.com	2	40.00000%	0	0%	3	60.00000%	0	0%	
www.guryat.com	46	35.38400%	9	6.92300%	65	50.00000%	10	7.69200%	
www.hadeelweb.com	5	41.66600%	0	0%	7	58.33300%	0	0%	
www.hadfur.com	0	0%	0	0%	2	100.00000%	0	0%	
www.hadramouttoday.net	58	36.70800%	16	10.12600%	67	42.40500%	17	10.75900%	
www.haigazian.edu.lb	4	13.79300%	0	0%	24	82.75800%	1	3.44800%	
www.hajjah.net	1899	75.47600%	235	9.34000%	277	11.00900%	105	4.17300%	
www.hakim.com	0	0%	0	0%	2	66.66600%	1	33.33300%	
www.hala.freewebspace.com	0	0%	0	0%	49	100.00000%	0	0%	
www.hamedzaid.com	13	15.47600%	5	5.95200%	61	72.61900%	5	5.95200%	
www.hamsatana.com	1	25.00000%	0	0%	3	75.00000%	0	0%	
www.happeal.net	83	40.29100%	21	10.19400%	79	38.34900%	23	11.16500%	
www.haringkids.com	1	50.00000%	0	0%	1	50.00000%	0	0%	
www.hasanews.com	21249	52.31400%	2718	6.69100%	14514	35.73200%	2137	5.26100%	
www.hatton-hotels.co.uk	0	0%	0	0%	15	100.00000%	0	0%	
www.hayatnafs.com	53	51.45600%	7	6.79600%	38	36.89300%	5	4.85400%	
www.hayekgroup.com	5	20.00000%	0	0%	20	80.00000%	0	0%	
www.haytham.com	1	6.66600%	1	6.66600%	13	86.66600%	0	0%	
www.hct.ac.ae	3	15.78900%	0	0%	16	84.21000%	0	0%	
www.hdrmut.net	73	52.14200%	9	6.42800%	56	40.00000%	2	1.42800%	
www.hdrmutonline.com	9	24.32400%	8	21.62100%	13	35.13500%	7	18.91800%	
www.hea.8k.com	0	0%	0	0%	2	100.00000%	0	0%	
www.hebron.edu	5	12.82000%	0	0%	29	74.35800%	5	12.82000%	
www.helsinki.fi	1	4.16600%	0	0%	17	70.83300%	6	25.00000%	
www.herealmukalla.com	36	32.43200%	11	9.90900%	46	41.44100%	18	16.21600%	
www.heritagetoursonline.com	0	0%	0	0%	1	50.00000%	1	50.00000%	
www.hesso.de	6	25.00000%	0	0%	17	70.83300%	1	4.16600%	
www.heysem.com.tr	3	10.71400%	0	0%	25	89.28500%	0	0%	
www.hhsaudi.com	0	0%	0	0%	12	92.30700%	1	7.69200%	
www.hiamag.com	9	20.00000%	2	4.44400%	30	66.66600%	4	8.88800%	
www.hibapress.com	66407	72.01300%	5791	6.27900%	16388	17.77100%	3629	3.93500%	Morocco 
www.history.com	3	7.50000%	0	0%	34	85.00000%	3	7.50000%	
www.hodeidah.net	7402	67.55400%	1044	9.52800%	1986	18.12500%	525	4.79100%	
www.holidays4arab.com	16	47.05800%	2	5.88200%	13	38.23500%	3	8.82300%	
www.hollywoodreporter.com	86	45.98900%	0	0%	88	47.05800%	13	6.95100%	
www.holymakkah.gov.sa	16	35.55500%	2	4.44400%	25	55.55500%	2	4.44400%	
www.homschamber.org	0	0%	0	0%	53	98.14800%	1	1.85100%	
www.honda.com	7	33.33300%	0	0%	14	66.66600%	0	0%	
www.horoof.com	3	60.00000%	0	0%	2	40.00000%	0	0%	
www.horse-previews.com	1	5.55500%	0	0%	15	83.33300%	2	11.11100%	
www.hotelcanova.com	0	0%	0	0%	6	85.71400%	1	14.28500%	
www.hoteldiscounts.com	2	13.33300%	0	0%	13	86.66600%	0	0%	
www.hover.com	1	6.66600%	0	0%	14	93.33300%	0	0%	
www.hozn.com	10	34.48200%	0	0%	17	58.62000%	2	6.89600%	
www.hpol.org	1	100.00000%	0	0%	0	0%	0	0%	
www.hshd.net	12106	64.66500%	1594	8.51400%	3992	21.32300%	1029	5.49600%	
www.htmlgoodies.com	4	7.14200%	1	1.78500%	49	87.50000%	2	3.57100%	
www.hugestore.com	3	33.33300%	0	0%	6	66.66600%	0	0%	
www.humboldt.edu	0	0%	0	0%	9	90.00000%	1	10.00000%	
www.hummer.com	0	0%	0	0%	2	100.00000%	0	0%	
www.hurryh.com	2	1.98000%	0	0%	98	97.02900%	1	.99000%	
www.hust.edu.ye	18	26.47000%	21	30.88200%	13	19.11700%	16	23.52900%	
www.hyyat.com	26	29.88500%	7	8.04500%	47	54.02200%	7	8.04500%	
www.i-cias.com	5	27.77700%	1	5.55500%	12	66.66600%	0	0%	
www.ibb7.com	30	43.47800%	7	10.14400%	25	36.23100%	7	10.14400%	
www.ibbnews.net	4206	75.21400%	323	5.77600%	871	15.57500%	192	3.43300%	
www.ibdaa-art.com	4	28.57100%	1	7.14200%	8	57.14200%	1	7.14200%	
www.ichotelsgroup.com	5	10.86900%	0	0%	39	84.78200%	2	4.34700%	
www.icoph.org	0	0%	0	0%	33	97.05800%	1	2.94100%	
www.ifbb.com	11	26.19000%	0	0%	29	69.04700%	2	4.76100%	
www.ikeauae.com	2	28.57100%	0	0%	5	71.42800%	0	0%	
www.ilokuwait.org	4	18.18100%	0	0%	18	81.81800%	0	0%	
www.ilove-casablanca.com	0	0%	0	0%	1	100.00000%	0	0%	
www.imamu.edu.sa	19	36.53800%	3	5.76900%	24	46.15300%	6	11.53800%	
www.imarabe.org	0	0%	0	0%	18	100.00000%	0	0%	
www.imaratarriyadh.gov.sa	0	0%	0	0%	2	100.00000%	0	0%	
www.imd.org	2	8.33300%	0	0%	22	91.66600%	0	0%	
www.imf.org	5	13.15700%	2	5.26300%	27	71.05200%	4	10.52600%	
www.imilchil-travel.com	2	16.66600%	0	0%	8	66.66600%	2	16.66600%	
www.imn.iq	64	48.48400%	15	11.36300%	37	28.03000%	16	12.12100%	
www.imo.net	0	0%	0	0%	24	85.71400%	4	14.28500%	
www.independent.co.uk	29	21.16700%	0	0%	108	78.83200%	0	0%	
www.informatics.jax.org	4	11.11100%	0	0%	32	88.88800%	0	0%	
www.innovation.gov.au	2	11.11100%	0	0%	16	88.88800%	0	0%	
www.intaaj.net	2	22.22200%	1	11.11100%	5	55.55500%	1	11.11100%	
www.inter.ae	42	44.21000%	5	5.26300%	35	36.84200%	13	13.68400%	
www.interamerika.com	0	0%	1	7.69200%	12	92.30700%	0	0%	
www.intuitionlang.com	5	18.51800%	0	0%	22	81.48100%	0	0%	
www.investbank.jo	0	0%	0	0%	2	100.00000%	0	0%	
www.investorguide.com	19	16.23900%	3	2.56400%	93	79.48700%	2	1.70900%	
www.iobf.org	1	11.11100%	0	0%	8	88.88800%	0	0%	
www.ipa.edu.sa	5	50.00000%	0	0%	3	30.00000%	2	20.00000%	
www.ipcc.ch	5	23.80900%	0	0%	16	76.19000%	0	0%	
